time_s,ecg_mv
0.0,1.0608946779965545
0.002,1.045792177728918
0.004,1.0067409979549609
0.006,0.9457912821635132
0.008,0.8665305623855899
0.01,0.7725632147601891
0.012,0.6675094230137338
0.014,0.5550051784600699
0.016,0.4387022800004669
0.018,0.32226833412361905
0.02,0.2093867549056438
0.022,0.10362791079281118
0.024,0.007078957950876871
0.026,-0.07922303866783742
0.028,-0.1545072913670964
0.03,-0.218265668109768
0.032,-0.27025269251782347
0.034,-0.31048554387233673
0.036,-0.3392440571134853
0.038,-0.3570707228405495
0.04,-0.36477068731191326
0.042,-0.363411752445063
0.044,-0.3543243758165888
0.046,-0.3391016706621838
0.048,-0.3195457670993597
0.05,-0.297013888509194
0.052,-0.27267209575686097
0.054,-0.2475893122965901
0.056,-0.22268545173953522
0.058,-0.19873141785377568
0.06,-0.1763491045643158
0.062,-0.15601139595308453
0.064,-0.13804216625893603
0.066,-0.1226162798776494
0.068,-0.10975959136192888
0.07,-0.09934894542140355
0.072,-0.09111217692262732
0.074,-0.08462811088907925
0.076,-0.07932656250116328
0.078,-0.07466104159618416
0.08,-0.07066513865348377
0.082,-0.06723149928938403
0.084,-0.06423922143287253
0.086,-0.061578861069431015
0.088,-0.05915243224103496
0.09,-0.056873407046154
0.092,-0.05466671563975175
0.094,-0.05246874623328579
0.096,-0.0502273450947078
0.098,-0.04790181654846339
0.1,-0.04546292297549218
0.102,-0.04289265170341211
0.104,-0.04018291191669626
0.106,-0.03733644912675747
0.108,-0.03436746514629378
0.11,-0.031301619844497294
0.112,-0.028134647326884858
0.114,-0.02482897664354265
0.116,-0.021374306900756153
0.118,-0.017761042581271244
0.12,-0.013980272962063871
0.122,-0.010023772114340222
0.124,-0.00588399890353654
0.126,-0.0015540969893191071
0.128,0.002972105174415693
0.13,0.007700094339541271
0.132,0.012634672463701093
0.134,0.01777995671030837
0.136,0.023139379448546382
0.138,0.02871568825336808
0.14,0.034510945905496485
0.142,0.04052653039142463
0.144,0.04676313490341512
0.146,0.05322076783950068
0.148,0.05989875280348409
0.15,0.06679572860493763
0.152,0.0739096492592039
0.154,0.08123778398739483
0.156,0.08877671721639306
0.158,0.09652234857885048
0.16,0.10447401435306072
0.162,0.11267984011803443
0.164,0.12113333483672767
0.166,0.12980683173228955
0.168,0.13867307298299716
0.17,0.14770520972225448
0.172,0.15687680203859314
0.174,0.16616181897567206
0.176,0.1755346385322773
0.178,0.18497004766232283
0.18,0.19444324227484938
0.182,0.20392982723402533
0.184,0.2134058163591466
0.186,0.22284763242463584
0.188,0.23223210716004375
0.19,0.24153648125004798
0.192,0.25073840433445377
0.194,0.2598159350081936
0.196,0.2687475408213273
0.198,0.27751209827904205
0.2,0.28608889284165245
0.202,0.2944575554830557
0.204,0.30259742020096664
0.206,0.31048780014826327
0.208,0.3181084127846145
0.21,0.3254393845248164
0.212,0.33246125073879296
0.214,0.3391549557515949
0.216,0.34550185284340024
0.218,0.351483704249515
0.22,0.3570826811603721
0.222,0.3622813637215321
0.224,0.3670627410336823
0.226,0.3714102111526382
0.228,0.37530758108934215
0.23,0.3787390668098641
0.232,0.3816892932354009
0.234,0.3841432942422776
0.236,0.38608651266194577
0.238,0.38750480028098466
0.24,0.388384417841101
0.242,0.38871203503912877
0.244,0.38847473052702947
0.246,0.3876599919118917
0.248,0.38625222397551645
0.25,0.38420256516690776
0.252,0.3815227910414773
0.254,0.37824364223863616
0.256,0.37439536319949485
0.258,0.37000770216686296
0.26,0.36510991118524866
0.262,0.359730746100859
0.264,0.35389846656160046
0.266,0.34764083601707807
0.268,0.340985121718596
0.27,0.33395809471915716
0.272,0.3265860298734635
0.274,0.3188947058379162
0.276,0.31090940507061454
0.278,0.30265491383135773
0.28,0.2941555221816433
0.282,0.285435023984668
0.284,0.27651671690532753
0.286,0.26742340241021606
0.288,0.2581773857676275
0.29,0.2488004760475543
0.292,0.23931398612168742
0.294,0.22973873266341718
0.296,0.22009503614783307
0.298,0.2104027208517232
0.3,0.20068111485357465
0.302,0.19094906380907012
0.304,0.18122522191085383
0.306,0.17152804531353252
0.308,0.16187550643371063
0.31,0.15228508148969203
0.312,0.14277375050147934
0.314,0.1333579972907743
0.316,0.1240538094809777
0.318,0.11487667849718881
0.32,0.10584159956620649
0.322,0.0969630717165277
0.324,0.08825509777834906
0.326,0.07973118438356595
0.328,0.07140434196577257
0.33,0.06328708476026203
0.332,0.05539143080402653
0.334,0.0477289019357572
0.336,0.040310523795843795
0.338,0.0331468258263757
0.34,0.026247841271140455
0.342,0.019623107175625102
0.344,0.013281664387015174
0.346,0.007231020171320878
0.348,0.0014675555066988766
0.35,-0.004017112641620043
0.352,-0.009231080385570214
0.354,-0.01418232726809079
0.356,-0.0188787162631238
0.358,-0.023327993775615376
0.36,-0.027537789641515306
0.362,-0.031515617127777146
0.364,-0.03526887293235827
0.366,-0.038804837184219586
0.368,-0.04213067344332597
0.37,-0.04525342870064591
0.372,-0.048180033378151736
0.374,-0.0509173013288194
0.376,-0.05347192983662875
0.378,-0.055850499616563194
0.38,-0.05805947481461002
0.382,-0.06010520300776016
0.384,-0.06199391520400845
0.386,-0.06373172584235336
0.388,-0.06532463279279713
0.39,-0.06677851735634557
0.392,-0.06809914426500857
0.394,-0.0692921616817994
0.396,-0.07036310120073543
0.398,-0.07131737784683748
0.4,-0.07216029007613041
0.402,-0.07289702435525314
0.404,-0.07353290482005762
0.406,-0.07407352443976974
0.408,-0.07452439328273397
0.41,-0.07489090488237236
0.412,-0.07517833620311114
0.414,-0.07539184764037983
0.416,-0.07553648302061194
0.418,-0.0756171696012448
0.42,-0.07563871807071913
0.422,-0.07560582254847985
0.424,-0.07552306058497536
0.426,-0.07539489316165765
0.428,-0.07522566469098295
0.43,-0.07501960301641078
0.432,-0.07478081941240453
0.434,-0.07451330858443132
0.436,-0.0742209486689621
0.438,-0.07390750123347166
0.44,-0.07357661127643818
0.442,-0.07323180722734385
0.444,-0.07287462592124692
0.446,-0.07250312431448712
0.448,-0.07211867280565526
0.45,-0.07172275957801479
0.452,-0.0713168291213905
0.454,-0.07090228223216813
0.456,-0.07048047601329507
0.458,-0.07005272387427948
0.46,-0.06962029553119115
0.462,-0.06918441700666102
0.464,-0.0687462706298811
0.466,-0.06830699503660488
0.468,-0.06786768516914689
0.47,-0.06742939227638312
0.472,-0.0669931239137506
0.474,-0.06655984394324772
0.476,-0.06613047253343421
0.478,-0.06570588615943074
0.48,-0.06528691760291953
0.482,-0.06487435595214396
0.484,-0.06446894660190851
0.486,-0.064071391253579
0.488,-0.06368234791508263
0.49,-0.06330243090090773
0.492,-0.06293221083210382
0.494,-0.06257221463628167
0.496,-0.06222292554761343
0.498,-0.06188478310683243
0.5,-0.06155818316123311
0.502,-0.0612434768086683
0.504,-0.06094068068707282
0.506,-0.06064908259246508
0.508,-0.06036782800352894
0.51,-0.060096018705509235
0.512,-0.05983271279021219
0.514,-0.05957692465600542
0.516,-0.05932762500781754
0.518,-0.059083740857138536
0.52,-0.05884415552201966
0.522,-0.058607708627073374
0.524,-0.05837319610347335
0.526,-0.05813937018895453
0.528,-0.05790493942781314
0.53,-0.0576685686709066
0.532,-0.05742887907565356
0.534,-0.057184448106034076
0.536,-0.056933809532589266
0.538,-0.05667545343242142
0.54,-0.05640782618919442
0.542,-0.05612969361058944
0.544,-0.055851854276120154
0.546,-0.055573737615216195
0.548,-0.055286598017241534
0.55,-0.05498144024279128
0.552,-0.054649019423691506
0.554,-0.05427984106299932
0.556,-0.05386416103500296
0.558,-0.053391985585221485
0.56,-0.05285307133040507
0.562,-0.05223692525853486
0.564,-0.05153280472882314
0.566,-0.050729717471713134
0.568,-0.049816421588879
0.57,-0.04878142555322608
0.572,-0.04761298820889051
0.574,-0.046299118771239635
0.576,-0.04482757682687179
0.578,-0.0431858723336164
0.58,-0.04136126562053348
0.582,-0.03934076738791456
0.584,-0.03711113870728198
0.586,-0.034658891021389124
0.588,-0.03197028614422032
0.59,-0.029031336260991067
0.592,-0.02582780392814773
0.594,-0.022345202073367876
0.596,-0.01856879399555973
0.598,-0.014483593364862813
0.6,-0.010074364222647876
0.602,-0.005325620982694644
0.604,-0.00022189331022720582
0.606,0.005251525142890992
0.608,0.011109327550927505
0.61,0.017366451030760382
0.612,0.024038082328036777
0.614,0.03113965781717283
0.616,0.03870151635477126
0.618,0.04686614894447811
0.62,0.0555968352647637
0.622,0.06480894703295612
0.624,0.07442048193766808
0.626,0.08435206363879713
0.628,0.09452694176752537
0.63,0.10487099192631995
0.632,0.11531271568893293
0.634,0.12578324060040094
0.636,0.13621632017704519
0.638,0.14654833390647207
